油管-CCTV纪录片_1,#genre#
用石块做美食？石烹松茸 石板粑粑 从古到今石烹美食在不断演变《舌尖上的中国》第三季 01【CCTV纪录】,https://www.youtube.com/watch?v=zDZvDUTTxsA
不同的美食适合用什么器具装呈？美食与美器的完美融合 才是一次完整的饮食体验《舌尖上的中国》第三季 01【CCTV纪录】,https://www.youtube.com/watch?v=0WnI9-UzlyE
《地球生物圈》05 热带雨林 地球一道靓丽的风景线 如果没有热带雨林你知道会怎么样吗？【CCTV纪录】,https://www.youtube.com/watch?v=ijrpy6enLY0
《地球生物圈》04 探秘孤岛奇观：由于环境与世隔绝 许多怪异奇妙的生命在这里诞生！【CCTV纪录】,https://www.youtube.com/watch?v=OvS3s086Jr4
《地球生物圈》03 探秘最独特的神奇岛屿“马达加斯加岛” 它的面积比法国本土还大【CCTV纪录】,https://www.youtube.com/watch?v=dOKUAPYbu04
《地球生物圈》02 地球生命物语：从海洋到草原 看它们如何在自然界中绽放生命【CCTV纪录】,https://www.youtube.com/watch?v=dan0LGmcIsc
《地球生物圈》01 围观野生动物们的“逍遥游” 北极熊和海豹“躲猫猫” 北美水獭在雪中“跳舞” 【CCTV纪录】,https://www.youtube.com/watch?v=_lPiWVRAOK8
《生活在世界屋脊》05 自然馈赠：青藏高原 世界屋脊的独特馈赠 生态宝藏等你来探索！【CCTV纪录】,https://www.youtube.com/watch?v=foVUVJFcUbQ
《生活在世界屋脊》04 文化隽永：宗教艺术的璀璨明珠 文化传承的永恒盛宴！【CCTV纪录】,https://www.youtube.com/watch?v=6-rT65FcfLI
《生活在世界屋脊》03 筑梦高原：拉萨焕新貌 建筑师与工程师共筑西藏宜居未来【CCTV纪录】,https://www.youtube.com/watch?v=fSuHI6c-2es
《生活在世界屋脊》02 草原牧歌：西藏不仅有雪山 更有牧民与牦牛共谱的生命赞歌【CCTV纪录】,https://www.youtube.com/watch?v=79VlY8hrCCs
《生活在世界屋脊》01 物华天宝：这里是最接近天堂的地方 面对极端气候 人们是怎样探索出生存发展之道的？【CCTV纪录】,https://www.youtube.com/watch?v=TFYyolG2iGw
《向海而行》05 蓝色脉动：一分钟调度约31个大型集装箱 义乌海铁联运贸易通达全球 海啸预警中心展大国担当……【CCTV纪录】,https://www.youtube.com/watch?v=yGBY4H5x6sc
《向海而行》04 碧海银滩：中国人一直在寻找与自然和谐共处的平衡之道 带您看中国海洋生态新画卷！【CCTV纪录】,https://www.youtube.com/watch?v=mNo3CJyA3HA
《向海而行》03 耕海牧渔：科研人员打破国外对南美白对虾种质资源的垄断……看中国智慧如何“耕牧”蔚蓝【CCTV纪录】,https://www.youtube.com/watch?v=Q3FCT_l8Zu8
《向海而行》02 逐梦深蓝：人类从未停止对海洋的探索 如今“蛟龙号”“深海勇士”“梦想”号等中国海洋重器正朝着更深处的海洋前行！【CCTV纪录】,https://www.youtube.com/watch?v=zG3WMhvpIIo
《向海而行》01 资源宝库：带您一起深入海洋 探寻中国海洋能源“宝藏”！【CCTV纪录】,https://www.youtube.com/watch?v=qrGqe3shYdY
《数学之美》01 潘承洞和他的学生们：探索数学的奇妙世界 破解哥德巴赫猜想 点燃科技的未来！【CCTV纪录】,https://www.youtube.com/watch?v=UbzxQUpLfZw
《一路千年》03 四十年如一日！吉尔吉特中国烈士陵园 三位外国人无私守护中国烈士英魂！【CCTV纪录】,https://www.youtube.com/watch?v=kL_OMEtmyj8
《一路千年》02 告别军装 奔赴巴基斯坦！1974援巴筑路英雄的壮丽人生！【CCTV纪录】,https://www.youtube.com/watch?v=5BqInb0BUHY
《一路千年》01 喀喇昆仑公路：连接西安与瓜达尔港的友谊之路 新丝路上的璀璨明珠！【CCTV纪录】,https://www.youtube.com/watch?v=p_4-TpTyAV8
《文脉粤传》湛江文脉：古老遗存与市井烟火的激情碰撞！ ——湛江【CCTV纪录】,https://www.youtube.com/watch?v=uq0-WqdkP00
《文脉粤传》给碉楼做“体检” 为侨胞送“家书”！看江门如何把“侨”文脉延续下去——江门【CCTV纪录】,https://www.youtube.com/watch?v=pl0IfUIlN8Y
《文脉粤传》走进汕头！探寻百载商埠汕头的历史 感受古城记忆——汕头【CCTV纪录】,https://www.youtube.com/watch?v=anIm1CdRbpI
《文脉粤传》潮州古城是一卷书 爱上了就放不下 让我们一同感受古城风韵和独特魅力——潮州【CCTV纪录】,https://www.youtube.com/watch?v=tcTMyhoKM3Q
《文脉粤传》漫步中山 寻访古迹 感受历史与现代的交响！——中山【CCTV纪录】,https://www.youtube.com/watch?v=ggcsvjVy-1c
《蓝天之盾》03 中国防空识别区：国家安全的坚强后盾 为预警机保驾护航！【CCTV纪录】,https://www.youtube.com/watch?v=mDykSJOdL9k
《蓝天之盾》02 空中加油机：增加战机航程和作战半径的关键利器 可增加25%至40%【CCTV纪录】,https://www.youtube.com/watch?v=TCaAyPwXsYQ
《蓝天之盾》01 传奇飞行大队！看“王海大队”如何用歼-20战机书写传奇 创造辉煌！【CCTV纪录】,https://www.youtube.com/watch?v=xgEL-39A0t4
《秘境·神农架》05 守护秘境：一起看看秘境深处红外相机拍到了什么动物？绝对意想不到【CCTV纪录】,https://www.youtube.com/watch?v=CLpZCIFav-k
《秘境·神农架》04 山的秘密：在暗无天日的洞穴里 有一种神奇的动物来到这里 它们快若蝙蝠 却发出喳喳叫【CCTV纪录】,https://www.youtube.com/watch?v=s1M56dWw7Fg
《秘境·神农架》03 云间湿地：大九湖水鸟幼儿园开学了 小䴙䴘开始学习觅食啦！【CCTV纪录】,https://www.youtube.com/watch?v=BHhZ4e1lNI0
《秘境·神农架》02 相伴成长：金丝猴宝宝努力学爬树 猴王拥有众多妻子 她们共同抚养小猴【CCTV纪录】,https://www.youtube.com/watch?v=dhCFAbH4CJM
《秘境·神农架》01 高山家园：猴王血拼！领地争夺战突然爆发 红毛头它能否守护老婆和孩子们【CCTV纪录】,https://www.youtube.com/watch?v=BAHhPIdsw50
《大开眼界》06 无垠：3个月大的婴儿做白内障手术 仿生眼为盲人带来希望的曙光【CCTV纪录】,https://www.youtube.com/watch?v=Ihouj6riReQ
《大开眼界》05 明眸：你了解干眼病吗？70%的干眼病人竟然都是因为这个......【CCTV纪录】,https://www.youtube.com/watch?v=KnkiD9ozEDs
《大开眼界》04 暗地：探索眼底秘境 视网膜解码光明世界的奥秘！【CCTV纪录】,https://www.youtube.com/watch?v=8dORw4Wo3bQ
《大开眼界》03 迷雾：近视是现代眼科学最为关注的焦点问题之一 它可不是简简单单的视力问题 背后还隐藏着其他视觉危机【CCTV纪录】,https://www.youtube.com/watch?v=dUX0Hn6e2Io
《大开眼界》02 除障：一场1600年前的眼科手术 让你穿越迷雾 重见清晰世界【CCTV纪录】,https://www.youtube.com/watch?v=dg-q1ut7OAs
《大开眼界》01 寻光：在地球46亿年的历史中寻找最早的眼睛 眼睛是如何出现的？【CCTV纪录】,https://www.youtube.com/watch?v=DeSjmO3meQM
《绿色星球 生存攻略》02 这套二氧化碳收集器 每年能捕获约900吨二氧化碳 相当于36000棵树一年吸收的量【CCTV纪录】,https://www.youtube.com/watch?v=csL54mjxoUA
《绿色星球 生存攻略》01 未来是否可以实现种植建筑？用真菌做成的建筑材料是否能做到呢？【CCTV纪录】,https://www.youtube.com/watch?v=SSwba4l335I
《绿色星球 城市天际线》02 如何实现在海里种植农作物？为了避免交通拥堵 他研制出了“会飞的汽车”【CCTV纪录】,https://www.youtube.com/watch?v=6b232WXlvMs
《绿色星球 城市天际线》01 如何在马尔代夫建造一座漂浮城市？印度洋低洼岛国应对气候危机的生存探索【CCTV纪录】,https://www.youtube.com/watch?v=8OGa1R4h1qA
6月5日世界环境日 请查收这封来自中国“国宝”大熊猫的邀请函《大熊猫的“新”世界》【CCTV纪录】,https://www.youtube.com/watch?v=h73prWYXadc
4K纪录片《大熊猫的“新”世界》今天在CCTV纪录播出《大熊猫的“新”世界》【CCTV纪录】,https://www.youtube.com/watch?v=NaXSZfiB_dk
如何提高两栖装甲车的航速？为装甲车装上滑水板是否可以实现？《军工记忆Ⅱ》03【CCTV纪录】,https://www.youtube.com/watch?v=0qGl-c_ENGM
中国05式两栖步兵战车在竞赛中一骑绝尘 让俄方傻眼 引起了国际军事专家的关注《军工记忆Ⅱ》03【CCTV纪录】,https://www.youtube.com/watch?v=dYQAyJwFSYE
中国军工人了不起 提前完成目标 直10首飞成功！《军工记忆Ⅱ》02【CCTV纪录】,https://www.youtube.com/watch?v=gQiHp0FSabM
一场车祸把试验用的直10桨叶摔伤 但让攻关组收获到了宝贵的经验《军工记忆Ⅱ》02【CCTV纪录】,https://www.youtube.com/watch?v=dKlSy3ig5Ug
什么是专用武装直升机呢？形象地说就是直升机中的战斗机《军工记忆Ⅱ》02【CCTV纪录】,https://www.youtube.com/watch?v=LDzjwSAzhD4
5 4 3 2 1 起爆！当年氢弹研制的参与者们 从全国各地一步步走到这里 经历了艰苦卓绝的历程《军工记忆Ⅱ》01【CCTV纪录】,https://www.youtube.com/watch?v=vAF8_sdgxv0
爆轰试验为氢弹研发提供技术支持 1966年氢弹原理试验成功 众人备受鼓舞《军工记忆Ⅱ》01【CCTV纪录】,https://www.youtube.com/watch?v=dO05kag_WaA
太牛了！从第一颗原子弹爆炸到第一颗氢弹爆炸 中国只用了2年零8个月 是5个核大国中用时最短的！《军工记忆Ⅱ》01【CCTV纪录】,https://www.youtube.com/watch?v=HZ1UEEzSmNc
“空警2000”遭合作方背信弃义！一架里面什么也没有的飞机被送回了中国...... 《军工记忆Ⅰ》06【CCTV纪录】,https://www.youtube.com/watch?v=DfHd0mQaO3Y
把雷达搬到天上去 如何把世界上最大的机载雷达安装到飞机顶部？《军工记忆Ⅰ》06【CCTV纪录】,https://www.youtube.com/watch?v=AYoBslNgWYk
“歼-10”飞起来的那一刻 很多参与人员都留下了高兴的泪水《军工记忆Ⅰ》05【CCTV纪录】,https://www.youtube.com/watch?v=y4ci9YJ3IlM
从一无所有到领先世界！中国的 “空警2000”预警机是怎么诞生的？《军工记忆Ⅰ》06【CCTV纪录】,https://www.youtube.com/watch?v=Bp5fsyVlH0M
经历上万次风洞实验 “歼-10“的总体方案才初步形成《军工记忆Ⅰ》05【CCTV纪录】,https://www.youtube.com/watch?v=uC90yVL6d4U
“歼-10”每个系统的设计都经过了无数次的迭代《军工记忆Ⅰ》05【CCTV纪录】,https://www.youtube.com/watch?v=CfTWLpgNDMM
中国科研人员只用两年研究应用了一种新型钢种 得了几千个试验数据 写了近百篇的研究报告《军工记忆Ⅰ》04【CCTV纪录】,https://www.youtube.com/watch?v=Nmy5bQ2HIAE
郑州舰是我国自行研制设计生产的导弹驱逐舰 具有较强的远程警戒探测和区域防空作战能力《军工记忆Ⅰ》04【CCTV纪录】,https://www.youtube.com/watch?v=MYJX_Rorbjo
太牛了！1993年中国第一艘新型导弹驱逐舰052首舰船台建造完成《军工记忆Ⅰ》04【CCTV纪录】,https://www.youtube.com/watch?v=dRzeoQkImfc
中国人自主创新 十一年磨一剑！红箭-8反坦克导弹研制成功 35发34中！《军工记忆Ⅰ》03【CCTV纪录】,https://www.youtube.com/watch?v=MK0o3j1-09I
一根不到1毫米直径的细线 让研制“红箭-8”的科研人员吃尽了苦头《军工记忆Ⅰ》03【CCTV纪录】,https://www.youtube.com/watch?v=cXHj2GpZIow
1969年中国开始研制第二代反坦克导弹 一群人开始白手起家 追赶世界先进水平的目标《军工记忆Ⅰ》03【CCTV纪录】,https://www.youtube.com/watch?v=M0mNqBcTixY
1970年“巨浪一号”模型弹落水试验在南京长江大桥展开《军工记忆Ⅰ》02【CCTV纪录】,https://www.youtube.com/watch?v=Y8ilboiGQLY
载入历史的一幕！我国第一颗潜地导弹“巨浪一号”发射成功《军工记忆Ⅰ》02【CCTV纪录】,https://www.youtube.com/watch?v=562Blegabt4
意外发生！“东方红一号”总装前夕又出现困难......《军工记忆Ⅰ》01【CCTV纪录】,https://www.youtube.com/watch?v=nUjnjjuNrso
一座看起来普通的房子里 一个涉及国防安全的重大任务在秘密展开......《军工记忆Ⅰ》02【CCTV纪录】,https://www.youtube.com/watch?v=TJ6wDo7t5ao
“东方红一号”在没有空调的厂房里出厂 让来参观的外国人无法相信 《军工记忆Ⅰ》01【CCTV纪录】,https://www.youtube.com/watch?v=tcpGKrQu40E
中国第一颗人造卫星“东方红一号”的基本方案 短到只有12个字“上得去” “抓得住” “听得着” “看得见” 《军工记忆Ⅰ》01【CCTV纪录】,https://www.youtube.com/watch?v=6mU4YoQzsAo
大国重器！一小时挖泥6000立方米 亚洲最大重型自航绞吸船“天鲲号” 【CCTV纪录】,https://www.youtube.com/watch?v=6_bRX_B4jtU
水陆并进的国之重器！中国军工巅峰之作 揭秘05式两栖装甲车族的震撼诞生！【CCTV纪录】,https://www.youtube.com/watch?v=ZNXPlwjURS0
中国利器“武直-10” 国产第一代武装直升机 科幻的外表下有着迅猛的火力！【CCTV纪录】,https://www.youtube.com/watch?v=k4iG11XEwm8
揭秘中国第一艘核潜艇的制造！挑战最难发射技术 打造中国第一枚潜射弹道导弹！【CCTV纪录】,https://www.youtube.com/watch?v=TYSnpLClu8Y
国之重器！探寻歼-20战斗机 运-20大型运输机背后的故事 看中国航空力量不断发展壮大【CCTV纪录】,https://www.youtube.com/watch?v=03wpAHvFd3g
中国海军史诗级飞跃！十年磨一剑 铸就“052型”导弹驱逐舰传奇！【CCTV纪录】,https://www.youtube.com/watch?v=_1CYwW3SF4I
歼-10战斗机一战成名！看歼-10背后的创新与奉献 20年磨一剑 铸就空天利刃！【CCTV纪录】,https://www.youtube.com/watch?v=EAGE2DiqBUo
《星火闪耀》03 鼎新：改革开放谱写新篇！进入全民阅读时代 新华书店门口出现全家夜排抢购的壮观场面【CCTV纪录】,https://www.youtube.com/watch?v=edgmvhiRGyY
《星火闪耀》02 铸基：毛泽东亲笔题写“人民出版社”社名 《新华字典》从1953年第一版到现在的第12版 已经走过了70个年头【CCTV纪录】,https://www.youtube.com/watch?v=ncOA5EqXv5g
《星火闪耀》01 火种：一座看似普通的石库门建筑 在20世纪20年代初却有着三重身份 哪一种身份都不简单......【CCTV纪录】,https://www.youtube.com/watch?v=5zZpDJQn4vk
《寻访大师》04 走向新世纪：看法国星空教堂中藏着的美丽光影 微生物的秘密100多年前在这里被揭开【CCTV纪录】,https://www.youtube.com/watch?v=yJNRuNtdGUE
《寻访大师》03 与世界交汇：当漫步在巴黎的街巷 你的耳边会响起一种特别的旋律 它的浪漫穿透百年时光【CCTV纪录】,https://www.youtube.com/watch?v=aiQxANLnVEE
《寻访大师》02 灵魂的声音：肖邦、雨果、巴尔扎克三位大师 他们的作品跨越时空 让世界听见了灵魂深处的强音【CCTV纪录】,https://www.youtube.com/watch?v=IDxroPfWBDU
《寻访大师》01 色彩人间：真正的莫奈花园长什么样 为什么毕加索用一生时间去学习画得像个孩子？【CCTV纪录】,https://www.youtube.com/watch?v=DRGHzQkxdP4
《开门的景迈》02 景迈山旅游太火爆啦！返乡大学生南塔带你直播看云海 玩转开门节！【CCTV纪录】,https://www.youtube.com/watch?v=-bRk69pCHPY
《开门的景迈》01 云南这座山凭什么成为世界遗产？千年古茶林中藏着普洱茶界的 “天花板” 【CCTV纪录】,https://www.youtube.com/watch?v=3vOV7Z2L1Yk
《王淦昌》04 无尽的追问：1998年 “天光一号”装置建成 我国成为继美国、英国、日本、苏联之后具有百焦级氟化氪激光器的国家【CCTV纪录】,https://www.youtube.com/watch?v=qlvMpEfSEI8
《王淦昌》03 以身许国：我愿以身许国！王淦昌奔赴祖国最需要的核前线 隐姓埋名17年！【CCTV纪录】,https://www.youtube.com/watch?v=Vw6Fh1aPosg
《王淦昌》02 寻找新粒子：王淦昌在四万底片中寻得一个反西格玛负超子  这一发现让全球科学界震动！【CCTV纪录】,https://www.youtube.com/watch?v=6peVrRmSf3k
《王淦昌》01 做个像岳飞那样的人：两度无限接近诺贝尔奖！却为祖国隐姓埋名17载 带你走进“中国核弹之父”王淦昌的传奇人生【CCTV纪录】,https://www.youtube.com/watch?v=VQbW8qM302U
一场穿越千年的脑洞大冒险！当甲骨文遇见童言无忌【CCTV纪录】,https://www.youtube.com/watch?v=jI40yDGYJMY
甲骨文走进幼儿园秒变猜猜乐【CCTV纪录】,https://www.youtube.com/watch?v=4t-Y_zUlPno
汉字在幼崽笔下的神奇变异过程【CCTV纪录】,https://www.youtube.com/watch?v=XJGe8VZPv7k
《“字”从遇见你》第三季 05 年字里的丰收喜悦！“弯腰屈背”的甲骨文 原来是农人背负粮食归家的象形——年【CCTV纪录】,https://www.youtube.com/watch?v=35Hx0AfAzYc
《“字”从遇见你》第三季 04  五彩斑斓的中国白！谁说“白”就是空白？这个字可太有料了 三千年前商王就为它痴狂——白【CCTV纪录】,https://www.youtube.com/watch?v=sVtA-2QXyPw
《“字”从遇见你》第三季 03 这个字装下了中国人的脑洞宇宙！这个像“8”又像“∞”的神秘符号 竟是华夏哲学的密码——玄【CCTV纪录】,https://www.youtube.com/watch?v=qzIItavz6gM
《“字”从遇见你》第三季 02 “兆” 一个穿越时空的汉字 从占卜到网速 看汉字中“兆”的变迁——兆【CCTV纪录】,https://www.youtube.com/watch?v=Ps3HXfOHCjM
《“字”从遇见你》第三季 01 甲骨文的三横里藏着会呼吸的智慧 中国人的生活离不开“气” 一起了解这个带着呼吸感的汉字——气 【CCTV纪录】,https://www.youtube.com/watch?v=xqTEBXhrm6M
《陶寺 地中之国》05 绵延荣光：太震撼了！四千年前的礼制王权——陶寺文化不朽的遗产！【CCTV纪录】,https://www.youtube.com/watch?v=M16lWbhCFxU
《陶寺 地中之国》04 熙熙攘攘：看似不起眼的土壤里 竟然隐藏着四千多年之前陶寺先民的饮食秘密！【CCTV纪录】,https://www.youtube.com/watch?v=k2RCZxLUjec
《陶寺 地中之国》03 地中之国：考古新发现！陶寺遗址惊现神秘观象台 古人智慧令人惊叹！【CCTV纪录】,https://www.youtube.com/watch?v=c5bZplng0w8
《陶寺 地中之国》02 王者之城：重见天日！四千年前的王者之城——陶寺 再度惊艳世界！【CCTV纪录】,https://www.youtube.com/watch?v=ieUUMDYOnSs
《陶寺 地中之国》01 陶寺初现：探秘“最初中国” 陶寺遗址 传说中的“尧舜之城”真的在这里吗？【CCTV纪录】,https://www.youtube.com/watch?v=3V5GNH9IhcQ
《岁月如歌》时代乐章：东方歌舞团 璀璨的艺术之星 引领时代新风尚（下）【CCTV纪录】,https://www.youtube.com/watch?v=YiK_Z0sAxCQ
《岁月如歌》时代乐章：新中国闪耀柏林！1951世界青年联欢节 青春的旋律响彻欧洲！（上）【CCTV纪录】,https://www.youtube.com/watch?v=CBnx4PWrki8
《岁月如歌》胜利序曲：中国人民取得抗日战争的伟大胜利！歌剧《白毛女》登上了张家口人民剧院舞台（下）【CCTV纪录】,https://www.youtube.com/watch?v=JYGLEjcyRfo
《岁月如歌》胜利序曲：《团结就是力量》一经问世就传遍了各个根据地 展现了八路军和老百姓众志成城争取胜利的决心（上）【CCTV纪录】,https://www.youtube.com/watch?v=5nFDZdKsoto
《岁月如歌》革命旋律：西战团以文艺为武器奋斗在抗战前线 《歌唱二小放牛郎》这首歌曲是如何诞生的？（下）【CCTV纪录】,https://www.youtube.com/watch?v=YxVP5HSF8Gw
《岁月如歌》革命旋律：一座老楼 《申报》报馆旧址 见证中国报业的峥嵘岁月！（上）【CCTV纪录】,https://www.youtube.com/watch?v=l_g94oZsRh4
《铸剑深蓝》05 从边探索边训练到全时待战 海军作战支援舰艇能力显著提升！【CCTV纪录】,https://www.youtube.com/watch?v=6ldi-biXLBU
《铸剑深蓝》04 国产新型05式两栖战车家族、大型气垫登陆艇、直-8重型运输直升机......人民海军陆战队新型装备不断提升【CCTV纪录】,https://www.youtube.com/watch?v=p2h2JjyJ3kg
《铸剑深蓝》03 绝密工程铸国之重器！中国第一枚潜射导弹震撼问世！【CCTV纪录】,https://www.youtube.com/watch?v=1IxQio25-9w
《铸剑深蓝》02 中国航母发展：辽宁舰实现了人民海军航母“从无到有”的突破【CCTV纪录】,https://www.youtube.com/watch?v=3FBXWeWUAt0
《铸剑深蓝》01 中国第一代导弹驱逐舰051型：从护航“东风五号”到人民海军远洋之路【CCTV纪录】,https://www.youtube.com/watch?v=aJKLV30P9zo
《大汶口猜想》汶水烟火：6000年前“山东大汉”究竟多高？大汶口遗址来揭秘！【CCTV纪录】,https://www.youtube.com/watch?v=tpmyYTWRc9E
《大汶口猜想》礼出东方：穿越时空 揭秘大汶口文化与“东方之礼”的千年之约！【CCTV纪录】,https://www.youtube.com/watch?v=eUlOwi_L_8Q
《大汶口猜想》文明曙光：重现远古中国的城市图景 解读王权诞生的原始密码【CCTV纪录】,https://www.youtube.com/watch?v=VmqufOYf7Iw
《农耕春秋》04 浙江湖州：古人循环农业智慧有多超前 三国时期就有的“财富密码”——桑基鱼塘系统【CCTV纪录】,https://www.youtube.com/watch?v=UvApo6f4Sk8
《农耕春秋》03 内蒙古阿鲁科尔沁草原：14万牲畜大迁徙 政府保驾护航 游牧智慧代代传——游牧系统【CCTV纪录】,https://www.youtube.com/watch?v=7oJSHoKZR6I
《农耕春秋》02 甘肃迭部扎尕那：扎尕那的土地如何四年一轮作？第一年种土豆 第二年种青稞 第三年种蚕豆 第四年翻地休耕——农林牧复合系统【CCTV纪录】,https://www.youtube.com/watch?v=Fqzd6r3PW5g
《农耕春秋》01 云南红河：千年智慧！哈尼梯田四素同构的生态密码——哈尼稻作梯田系统【CCTV纪录】,https://www.youtube.com/watch?v=cc5Lra41dsQ
用牦牛肉做的夏馍馍【CCTV纪录】,https://www.youtube.com/watch?v=4HxR93l_fkg
《原味西藏》02 前往雪域高原 一同品味“舌尖”上的西藏 白煮藏香猪 凉拌牦牛肉 酥油煎松茸【CCTV纪录】,https://www.youtube.com/watch?v=jfPJAlfTtBU
《原味西藏》01 西藏4700米海拔的顶级羊肉等你来吃  已馋哭......风干羊肉 清炖羊肉 羊肉包【CCTV纪录】,https://www.youtube.com/watch?v=AHEVOTSexQg
《我的田野答卷》我在棉田去“黑头”：给棉花去黑头比去皮肤黑头难多了 看农科生给棉花“美容”的故事【CCTV纪录】,https://www.youtube.com/watch?v=KEF-pcaqTx0
《我的田野答卷》别跑 沙地虫：博士生为啥盯上了沙地里的虫子 看“虫虫军团”如何助力生态环境保护？【CCTV纪录】,https://www.youtube.com/watch?v=R4cKN0cnMbQ
《我的田野答卷》我和棉农有个约定：厉害了！浙大博士马小伟攻克棉花育种难题 助力中国农业腾飞！【CCTV纪录】,https://www.youtube.com/watch?v=N7ou-nGvKuA
《我的田野答卷》我的青春叫“3918”：厉害了我的“3918”！看山西大学生如何用青春守护“金灿灿”的希望！【CCTV纪录】,https://www.youtube.com/watch?v=8baONT8E5ow
《我的田野答卷》硬汉的绿野仙踪梦：北京林业大学团队突破桉树育种难题 已成为全球稳定产生桉树多倍体的团队！【CCTV纪录】,https://www.youtube.com/watch?v=RNkCmp6O7FA
